Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2.7683826627,,,4.5061790981,15.442822948,17.1,18.8,20.8,23,25.4,28,30.9,52,58,62,69,74,78.9,83.78,88.6612269325,93.542453865,
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.0047225682,0.0045613952,0.0878912529,0.10580903,1.2241480837,2.1071236455,1.9,1.84,3.55,4,5,5.4545454545,5.9,7,8.26,10.5957264187,
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.0007759285,0.005673746,0.0184537241,0.071964087,0.1050455625,0.1360138674,0.2703767456,0.3706820652,0.464814618,1.1433668266,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13,
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0111686955,0.0321968282,0.0485939188,0.06502737,0.0814370446,0.1140973466,0.3257983771,0.3900812734,0.9719004152,2.4203877978,6.043890864,9.6099913158,15.0361154084,23.86,41.2,45,49,54.6559590399,57.2,60.1,63.2529326969,66.363444701,
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1.5266010228,3.0501753851,6.8862092183,7.6356861428,10.5388356092,,11.260468717,13.5464128764,26.8379543895,37.6057662175,48.9368469989,70.87,70.04,78.53,81,81,86.4344246167,94,95.9,96.91,97.930637122,
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0176735803,0.0391510685,0.135566651,0.2700710445,0.6168163912,1.1739867439,1.6074478851,2.7677858829,3.7480369029,7.2346368903,8.6349467667,11.6637886735,14.3152138911,18.4959056791,21.4263493058,24.7759406945,26.5827639494,30.1782328192,32.9280383553,36.4579583655,39.8518963862,42.5250402156,
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.1029391746,0.3753935343,3.295592694,6.9083029857,14.9426989907,23.6253008752,26.271754201,28.316485311,29.4779534121,30.1312961695,40,52,61,63,64,68,78,84.9999915049,88,90.4,90.5,90.600007318,
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0029928741,0.0295270653,0.0437059511,0.086277081,0.1419547044,0.2803398818,0.8307666797,3.2844819559,7.0386830862,9.7808072853,10.8821243775,11.913696551,16.0366841055,17.7205833696,20.9272021036,25.9466329404,28.11262348,34,45,51,55.8,59.9,64.7,68.0430641088,70.9689808206,
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.0091170141,0.0527431233,0.0945729025,0.1116509345,0.1286594776,0.9707377575,1.3004700224,1.6310946668,1.9604050458,4.5752172248,4.8990085713,5.252983352,5.6317877773,6.0212533971,6.21,15.3,25,32,37.5,41.9,54.6228058583,64.3460297654,67,
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
